Word,Meaning
tirade,"a long, angry speech of criticism or accusation"
torpid,"mentally or physically inactive; lethargic"
torrential,"(of rain) falling rapidly and in copious quantities"
tortuous,"full of twists and turns; excessively lengthy and complex"
tout,"to attempt to sell (something), typically by pestering people in an aggressive or bold manner"
tranquil,"free from disturbance; calm"
transcendent,"beyond or above the range of normal or merely physical human experience"
transitory,"not permanent"
trivial,"of little value or importance"
truculent,"eager or quick to argue or fight; aggressively defiant"
truncate,"to shorten (something) by cutting off the top or the end"
tumultuous,"making a loud, confused noise; excited, confused, or disorderly"
turmoil,"a state of great disturbance, confusion, or uncertainty"
ubiquitous,"present, appearing, or found everywhere"
ultimate,"being or happening at the end of a process; final"
unanimous,"(of two or more people) fully in agreement"
unassuming,"not pretentious or arrogant; modest"
unprecedented,"never done or known before"
unravel,"to undo (twisted, knitted, or woven threads)"
unwitting,"not aware of or not realizing something"
urbane,"suave, courteous, and refined in manner"
usurp,"to take (a position of power or importance) illegally or by force"
utilitarian,"designed to be useful or practical rather than attractive"
utopian,"modeled on or aiming for a state in which everything is perfect; idealistic"
vacuous,"having or showing a lack of thought or intelligence; mindless"
vagrant,"a person without a settled home or regular work who wanders from place to place"
vapid,"offering nothing that is stimulating or challenging; bland"
vehement,"showing strong feeling; forceful, passionate, or intense"
venerable,"accorded a great deal of respect, especially because of age, wisdom, or character"
verbose,"using or expressed in more words than are needed"
veritable,"used as an intensifier, often to qualify a metaphor"
versatile,"able to adapt or be adapted to many different functions or activities"
vestige,"a trace of something that is disappearing or no longer exists"
vigilant,"keeping careful watch for possible danger or difficulties"
vindicate,"to clear (someone) of blame or suspicion"
virtuous,"having or showing high moral standards"
vivacious,"attractively lively and animated"
volatile,"liable to change rapidly and unpredictably, especially for the worse"
voluble,"speaking or spoken incessantly and fluently"
voracious,"wanting or devouring great quantities of food; having a very eager approach to an activity"
vulnerable,"exposed to the possibility of being attacked or harmed, either physically or emotionally"
waive,"to refrain from insisting on or using (a right or claim)"
wane,"to decrease in vigor, power, or extent; to become weaker"
wary,"feeling or showing caution about possible dangers or problems"
wistful,"having or showing a feeling of vague or regretful longing"
wry,"using or expressing dry, especially mocking, humor"
zealous,"having or showing zeal; enthusiastic"
zenith,"the time at which something is most powerful or successful"
zest,"great enthusiasm and energy"

